127.0.0.1 - - [30/May/2022:18:56:15 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [30/May/2022:18:56:15 +0530] "GET /studentapp/Login.jsp HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [30/May/2022:18:56:15 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [30/May/2022:18:58:12 +0530] "POST /studentapp/verifyLogin HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [30/May/2022:18:58:27 +0530] "POST /studentapp/new HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [30/May/2022:18:58:34 +0530] "GET /studentapp/verifyLogin HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [30/May/2022:18:58:35 +0530] "GET /studentapp/fetch HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [30/May/2022:18:58:43 +0530] "POST /studentapp/verifyLogin HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [30/May/2022:18:58:46 +0530] "POST /studentapp/new HTTP/1.1" 200 799
0:0:0:0:0:0:0:1 - - [30/May/2022:18:58:48 +0530] "GET /studentapp/fetch HTTP/1.1" 200 2953
0:0:0:0:0:0:0:1 - - [30/May/2022:18:58:55 +0530] "GET /studentapp/update?email=muletushar6@gmail.com&mobile=7038669549 HTTP/1.1" 200 707
0:0:0:0:0:0:0:1 - - [30/May/2022:18:58:57 +0530] "GET /studentapp/fetch HTTP/1.1" 200 2953
0:0:0:0:0:0:0:1 - - [30/May/2022:18:59:04 +0530] "GET /studentapp/delete?email=muletushar6@gmail.com HTTP/1.1" 200 1102
0:0:0:0:0:0:0:1 - - [30/May/2022:18:59:08 +0530] "GET /studentapp/verifyLogin HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [30/May/2022:18:59:09 +0530] "POST /studentapp/logout HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [30/May/2022:18:59:13 +0530] "GET /studentapp/verifyLogin HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [30/May/2022:18:59:14 +0530] "GET /studentapp/fetch HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [30/May/2022:18:59:17 +0530] "GET /studentapp/fetch HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [30/May/2022:18:59:19 +0530] "POST /studentapp/verifyLogin HTTP/1.1" 200 438
